id,name,birth
867000,"Joan Tompkins",1912
136001,"Éric Caravaca",1966
51002,"Gunars Balodis",1934
1751002,"Rodney Newman",1972
493003,"Ronald William Lawrence",1964
2669003,"Michelle Joan Papillion",1981
3026003,"Priscila Sol",1980
1785004,"Shengyi Huang",1983
1513004,"Queralt Albinyana",1980
1530005,"Nick Groff",1980
1020006,"Dong-kun Yang",1979
9,"Richard Burton",1925
646010,"Gracia Olayo",1957
1666012,"Sarah Besan Shennib",1978
3587012,"Anna Habeck",1985
221013,"Jacques Deschamps",1931
697014,"Lonny Price",1959
816015,"Tim Souster",1943
2618016,"Diego Ojeda",1982
833016,"Herbert Strabel",1927
1530016,"Vladimir Bogomolov",1924
16,"Georges Delerue",1925
884016,"Elias Bosch",1961
187017,"Judith Crawley",1914
1700017,"Tsunku",1968
714019,"Márcia Real",1929
1496020,"Chris Cottam",1973
357020,"Brett Halsey",1933
1105020,"Sergei Dobrotvorsky",1959
1207021,"Mark Jwayad",1980
21,"Joan Fontaine",1917
1615021,"Alice de Champfleury",1967
136021,"Leos Carax",1960
22,"Clark Gable",1901
136022,"Harry Caray",1914
765024,"Michel Sardou",1947
663024,"Trina Parks",1947
136025,"Kostas Karagiannis",1932
1479026,"A.J. Tesler",1978
3230026,"Mia Skäringer",1976
952029,"Abdel Rahman Abou Zahra",1934
1955029,"Gil Courtemanche",1943
204029,"William Davies",1921
459031,"Jörg Kleinau",1954
2380031,"Alfonso Sahagun Casaus",1978
1802031,"Don Bernier",1970
1462031,"Jason Griffith",1980
3349032,"Edmond Choi",1975
119033,"Mladen Budiscak",1947
374034,"Marc Heijdeman",1970
10727035,"Tara Lee",1994
36,"Buster Keaton",1895
2159037,"Imre Mécs",1933
1292037,"Jordi Díaz",1975
1649038,"Dave Anderson",1929
85038,"Gunnar Björnstrand",1909
4471039,"Laurence Sunderland",1963
1836041,"Mike Menza",1950
8704041,"Barbora Namerova",1985
578042,"Danton Mello",1975
1105042,"Toni Hagen",1917
952043,"Milena Zahrynowska",1941
4386044,"Michael Allie",1954
5168044,"Bobby DeMuro",1986
8993048,"Cody Brinson",1994
3111048,"Eric Edmonds",1983
374049,"Eva van Heijningen",1958
4930049,"Morad Abdel-Fattakh",1987
3128050,"Mark Hunter",1978
5100051,"Murali Chand",1988
17054,"Albu Ioan",1949
1683054,"Ryan Tygh",1980
272057,"Lance Fenton",1966
3111058,"Vince Bingham",1975
2193058,"Geno Lenardo",1969
4352059,"Tania Leon",1943
1615059,"Amedeo Bacigalupo",1969
408060,"Adi Ahmet Imamovic",1950
425061,"Eric Vale",1974
2312062,"Tania Johari",1950
63,"Anthony Quinn",1915
1275065,"Kansas Carradine",1978
67,"Miklós Rózsa",1907
34068,"George Ardisson",1931
867068,"Sylva Tománková",1973
1938069,"Kevin Kramer",1976
697069,"Matthew Sussman",1958
69,"Frank Sinatra",1915
493069,"Vicki Lawrence",1949
2278070,"Arashi Fukasawa",1996
221072,"Josée Deschênes",1961
1377076,"Benjamin Gourley",1978
476076,"György ifj. Kurtág",1954
4658076,"Nana Aoyama",1984
7684077,"Nicolas Prattes",1997
2992079,"David Schlachtenhaufen",1984
2482081,"Mouhamed Harfouch",1977
7259082,"Quinn Sheehan",1999
51082,"Bruno Balp",1926
6307083,"Callum West",1989
1819083,"Arjun Kapoor",1985
2091085,"Rosa Mota",1958
85,"Henner Hofmann",1950
459086,"Petra Kleinert",1967
2703086,"Paul Anderton",1973
969087,"Michiel van Erp",1963
136092,"Vicki Carbe",1942
1326094,"Diego Varela",1975
901097,"Nils Vogt",1948
850102,"Amanda Tapping",1965
119102,"Klaus Bueb",1946
4998103,"Myrtle Sarrosa",1994
1564103,"Belén Fabra",1977
104,"Antonio Banderas",1960
85104,"Jan Blaaser",1922
969108,"Gareth Farr",1968
1224109,"Adam Gilbert Jespersen",1991
680109,"Will Tremper",1928
3213109,"Petr Nikl",1960
663111,"Quinto Parmeggiani",1926
4250111,"Carmen Carrera",1985
969111,"Mark Feehily",1980
112,"Pierce Brosnan",1953
323112,"Doug Glover",1970
2380112,"Esmeralda Moya",1985
255112,"Terrance Ellis",1957
510113,"Arvi Liimatainen",1949
2363113,"Alex Del Monacco",1980
170113,"Harley Cokeliss",1945
1377114,"Jim Howick",1979
510115,"Kirsi Liimatainen",1968
2397116,"Major Dodge",1978
6851116,"Kamila Trnková",1991
51116,"Humbert Balsan",1954
612117,"Elise Muller",1967
578117,"Kay Mellor",1951
510118,"Tapio Liinoja",1954
476120,"Jadwiga Kuryluk",1912
255124,"Tom Ellis",1978
68127,"Daniel Bell",1919
2618128,"Rob Connolly",1982
5695129,"Michael Lakota Dillon",1992
8704129,"Hissène Habré",1942
1173129,"Jacek Rozenek",1969
1513130,"Dilber Ay",1958
799131,"Sandro Silvestri",1937
510132,"Val Lik",1978
1972134,"Rami Hilmi",1975
391134,"Dara Hollingsworth",1981
3553139,"Jameela Jamil",1986
1938140,"Ágnes Anna Kovács",1975
2499140,"Callie Angell",1948
289142,"Matthew Fox",1966
833143,"Richard Strahle",1957
119144,"Bill Buell",1952
476146,"Susanne Kurz",1974
2295147,"Johnny Soto",1984
148,"Harrison Ford",1942
884149,"Elsa Valentim",1966
476149,"Werner Kurz",1924
969153,"Gregory Abbey",1970
578154,"Andree Melly",1932
1071155,"Norbert Braun",1952
306155,"Humberto García",1943
160,"Ethan Hawke",1970
1632160,"Piotr Pilitowski",1966
850162,"Gerardo Taracena",1970
952162,"Dolora Zajick",1952
1989163,"Tim Duncan",1976
1275164,"Marc Clebanoff",1980
969164,"Yukio Fukamachi",1930
323165,"Richard Glover",1953
952166,"Vladimir Zaykin",1959
2465168,"Quincy Coleman",1972
4777170,"Prosenjit Chowdhury",1987
2210170,"Michael Coonce",1976
68171,"E.E. Bell",1955
289171,"Norman A. Fox",1911
459171,"Annedore Kleist",1967
221176,"Jackie DeShannon",1941
578176,"Daniel Melnick",1932
935177,"Elke Winkens",1970
255177,"Christopher Ellison",1946
68180,"Edward Michael Bell",1935
1768182,"Bastian Günther",1974
799183,"Bebu Silvetti",1944
136184,"Carmen Carbonell",1900
357185,"Jonathan Halyalkar",1985
952187,"Sergei Zajtsev",1924
68187,"Emma Bell",1986
1156188,"Gabriel Quintero",1976
4811188,"Jon Kohan",1986
561189,"Yves-Marie Maurin",1944
340190,"Frédéric Grendel",1924
1173191,"Terence Schreurs",1976
136192,"Maite Rivera Carbonell",1976
221192,"Shirili Deshe",1968
238192,"Clara Droetto",1942
748193,"Marianna Rubinchik",1974
629195,"Adama Niane",1966
3145196,"Joe Gariffo",1986
196,"Mike Myers",1963
765197,"Zeljko Saric",1945
5270197,"Douglas Stahl",1986
799197,"Lilia Silvi",1921
1428198,"Laila Boonyasak",1982
1105201,"Simon Gentry",1966
1377203,"Erik Menendez",1971
205,"Parker Posey",1968
1921206,"Rick Andres",1977
2584207,"Dorothy Vogel",1935
1377207,"Santiago Mitre",1980
209,"Tim Robbins",1958
2448209,"Serena Fang",1984
629212,"Michael Niavarani",1968
255213,"Larry Ellison",1944
629216,"Phil Nibbelink",1955
612219,"Paul Muller",1923
374220,"Si Heiman",1961
867222,"Chen-Chung Tang",1956
612223,"Peter Paul Muller",1965
225,"Christian Slater",1969
1870225,"Calvin Yu",1976
799226,"Satu Silvo",1962
3281226,"Paul Blair",1981
170227,"Arduíno Colassanti",1936
170228,"Manfredo Colassanti",1902
4947229,"Jeff Trink",1968
3485229,"Palina Rojinski",1985
374229,"Richard G. Heimann",1931
561230,"Humberto Mauro",1897
1292231,"Vincent Foster",1969
2227232,"Rick Mischke",1966
1326232,"Michael McGee",1965
34232,"Rein Aren",1927
3859232,"Salahuddin",1926
884233,"Greg Valentine",1951
459233,"Thomas Klemm",1961
17235,"Bob Alcivar",1938
1377236,"Robert Perisic",1969
799238,"Ana María Simón",1973
239,"Liv Tyler",1977
442239,"Peter Kaufman",1960
240,"Skeet Ulrich",1970
1292241,"Kristin Franke",1981
2397241,"Huntun Batu",1979
646241,"Craig Olejnik",1979
782242,"Baba Sehgal",1965
1802244,"Kristoffer Metcalfe",1978
244,"Sigourney Weaver",1949
1938245,"Carlos M. Mora",1965
1156245,"Jeremy Roenick",1970
85246,"Don Black",1938
289247,"Sean Fox",1979
799247,"Hannah Sim",1962
1241247,"Gaz Evans",1984
833248,"Christian Strand",1980
782249,"Bo Sehlberg",1944
153249,"Jean-Michel Charlier",1924
7956249,"Courtney Shaffer",1987
561255,"Richard Mauro",1952
289255,"Melodee Spevack",1953
256,"Jenny Agutter",1952
4573256,"Travis W. Fox",1970
